West Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly, Princp.& ,Median,,,,,,,
, Single-Fam ,Mortgage, Interest ,as %, Family ,Qualifying,,Last,Last,,
, Home ,Rate*, Payment ,Income, Income ,Income**,Composite,Month,Year,,
,,,,,,,,,,,
2001.10," 213,800 ",6.52," 1,083 ",24.9,"52,197","51,984",100.4,94.5,93.3,,
2001.11," 204,000 ",6.66," 1,049 ",24.1,"52,263","50,352",103.8,100.4,92.7,,
2001.12," 208,200 ",7.03," 1,111 ",25.5,"52,329","53,328",98.1,103.8,97.1,,
2002.01," 223,600 ",6.85," 1,172 ",26.8,"52,415","56,256",93.2,98.1,103.6,,
2002.02," 228,600 ",6.65," 1,174 ",26.9,"52,433","56,352",93.0,93.2,101.0,,
2002.03," 230,200 ",6.87," 1,209 ",27.7,"52,462","58,032",90.4,93.0,97.0,,
2002.04," 227,400 ",6.77," 1,182 ",27.0,"52,538","56,736",92.6,90.4,97.4,,
2002.05," 234,000 ",6.57," 1,192 ",27.2,"52,567","57,216",91.9,92.6,93.7,,
2002.06," 235,700 ",5.97," 1,127 ",25.7,"52,610","54,096",97.3,91.9,94.1,,
2002.07," 238,800 ",6.15," 1,164 ",26.6,"52,584","55,872",94.1,97.3,96.6,,
2002.08," 228,200 ",6.22," 1,120 ",25.6,"52,590","53,760",97.8,94.1,96.5,,
2002.09," 233,400 ",6.19," 1,142 ",26.0,"52,609","54,816",96.0,97.8,94.5,,
