U.S. FIRST-TIME HOMEBUYER AFFORDABILITY,,,,,,,,,,,,,,,,,,,,,,,,
"Quarterly, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Starter,,,Effective,Interest,,Prime 1st Time,,First Time,Composite,,,,,,,,,,,,,,
,Home,10%,Loan,Interest,Rate +,Monthly,Median,Qualifying,Affordability,Affordability,Affordability,,,,,,,,,,,,,
,Price,Down,Amount,Rate,PMI,Payment,Income,Income,Index,Index,Gap,,,,,,,,,,,,,
2014.2,"180,200","18,020","162,180",4.32,4.57,829,"42,697","39,792",107.3,162.7,34.1%,,,,,,,,,,,,,
2014.3,"184,500","18,450","166,050",4.23,4.48,839,"43,027","40,272",106.8,161.9,34.0%,,,,,,,,,,,,,
2014.4,"177,100","17,710","159,390",4.20,4.45,803,"43,324","38,544",112.4,170.4,34.0%,,,,,,,,,,,,,
2015.1,"174,000","17,400","156,600",3.97,4.22,768,"43,850","36,864",119.0,180.4,34.0%,,,,,,,,,,,,,
2015.2,"195,100","19,510","175,590",3.95,4.20,859,"44,285","41,232",107.4,163.0,34.1%,,,,,,,,,,,,,
2015.3,"194,600","19,460","175,140",4.15,4.40,877,"44,622","42,096",106.0,160.7,34.0%,,,,,,,,,,,,,
2015.4,"189,000","18,900","170,100",4.07,4.32,844,"44,717","40,512",110.4,167.4,34.1%,,,,,,,,,,,,,
2016.1,"184,600","18,460","166,140",4.01,4.26,818,"45,429","39,264",115.7,175.2,34.0%,,,,,,,,,,,,,
2016.2,"204,600","20,460","184,140",3.85,4.10,890,"45,841","42,720",107.3,162.7,34.1%,,,,,,,,,,,,,
2016.3,"205,100","20,510","184,590",3.76,4.01,882,"46,369","42,336",109.5,166.1,34.1%,,,,,,,,,,,,,
2016.4,"200,100","20,010","180,090",3.91,4.16,876,"47,123","42,048",112.1,169.9,34.0%,,,,,,,,,,,,,
2017.1,"197,400","19,740","177,660",4.36,4.61,912,"47,362","43,776",108.2,163.9,34.0%,,,,,,,,,,,,,
2017.2,"217,100","21,710","195,390",4.09,4.34,972,"47,715","46,656",102.3,155.1,34.0%,,,,,,,,,,,,,
2017.3,"216,500","21,650","194,850",4.16,4.41,977,"48,155","46,896",102.7,155.6,34.0%,,,,,,,,,,,,,
2017.4,"210,600","21,060","189,540",4.17,4.42,951,"48,885","45,648",107.1,162.2,34.0%,,,,,,,,,,,,,
2018.1,"208,500","20,850","187,650",4.44,4.69,972,"49,180","46,656",105.4,159.7,34.0%,,,,,,,,,,,,,
2018.2,"227,800","22,780","205,020",4.70,4.95,"1,094","49,501","52,512",94.3,142.7,33.9%,,,,,,,,,,,,,
2018.3,"226,500","22,650","203,850",4.77,5.02,"1,097","49,847","52,656",94.7,143.3,33.9%,,,,,,,,,,,,,
2018.4,"219,300","21,930","197,370",4.95,5.20,"1,084","50,114","52,032",96.3,145.8,34.0%,,,,,,,,,,,,,
2019.1,"216,700","21,670","195,030",4.62,4.87,"1,032","50,729","49,536",102.4,155.1,34.0%,,,,,,,,,,,,,
2019.2,"237,600","23,760","213,840",4.08,4.33,"1,062","51,155","50,976",100.4,152.1,34.0%,,,,,,,,,,,,,
2019.3,"238,000","23,800","214,200",3.71,3.96,"1,018","51,555","48,864",105.5,160.1,34.1%,,,,,,,,,,,,,
2019.4,"233,800","23,380","210,420",3.76,4.01,"1,006","51,854","48,288",107.4,162.9,34.1%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
