Midwest Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly,Princp.&,Median,,,,,,,
, Single-Fam ,Mortgage,Interest,as %, Family ,Qualifying,,Last,Last,,
, Home ,Rate*,Payment,Income, Income ,Income**,Composite,Month,Year,,
,,,,,,,,,,,
2000.07," 130,900 ",8.09,775.0,17.2," 54,199 ",37200.0,145.7,144.9,154.4,,
2000.08," 131,100 ",8.02,771.0,17.1," 54,190 ",37008.0,146.4,145.7,150.5,,
2000.09," 129,900 ",8.00,763.0,16.9," 54,181 ",36624.0,147.9,146.4,155.6,,
2000.10," 121,100 ",7.92,705.0,15.6," 54,172 ",33840.0,160.1,147.9,157.6,,
2000.11," 118,700 ",7.84,686.0,15.2," 54,163 ",32928.0,164.5,160.1,160.5,,
2000.12," 123,500 ",7.41,685.0,15.2," 54,154 ",32880.0,164.7,164.5,157.9,,
2001.01," 123,300 ",7.14,666.0,14.8," 54,145 ",31968.0,169.4,164.7,154.1,,
2001.02," 123,100 ",7.15,665.0,14.7," 54,136 ",31920.0,169.6,169.4,160.5,,
2001.03," 125,000 ",7.04,668.0,14.8," 54,127 ",32064.0,168.8,169.6,160.7,,
2001.04," 123,800 ",7.15,669.0,14.8," 54,118 ",32112.0,168.5,168.8,156,,
2001.05," 128,500 ",7.18,696.0,15.4," 54,109 ",33408.0,162.0,168.5,149.7,,
2001.06," 133,200 ",7.15,720.0,16.0," 54,100 ",34560.0,156.5,162.0,144.9,,
2001.07," 139,800 ",7.16,756.0,16.8," 54,092 ",36288.0,149.1,156.5,145.7,,
2001.08," 136,100 ",6.95,721.0,16.0," 54,083 ",34608.0,156.3,149.1,146.4,,
2001.09," 132,200 ",6.77,687.0,15.2," 54,074 ",32976.0,164.0,156.3,147.9,,
2001.10," 126,200 ",6.55,641.0,14.2," 54,065 ",30768.0,175.7,164.0,160.1,,
2001.11," 125,200 ",6.69,646.0,14.3," 54,056 ",31008.0,174.3,175.7,164.5,,
2001.12," 133,700 ",7.06,716.0,15.9," 54,047 ",34368.0,157.3,174.3,164.7,,
2002.01," 129,700 ",6.90,683.0,15.3," 53,464 ",32784.0,163.1,157.3,169.4,,
2002.02," 128,800 ",6.64,661.0,14.8," 53,479 ",31728.0,168.6,163.1,169.6,,
2002.03," 127,400 ",6.86,669.0,15.0," 53,502 ",32112.0,166.6,168.6,168.8,,
2002.04," 131,200 ",6.76,681.0,15.3," 53,564 ",32688.0,163.9,166.6,168.5,,
2002.05," 135,100 ",6.54,686.0,15.4," 53,588 ",32928.0,162.7,163.9,162,,
2002.06," 141,100 ",6.36,703.0,15.7," 53,624 ",33744.0,158.9,162.7,156.5,,
2002.07," 142,900 ",6.19,699.0,15.6," 53,602 ",33552.0,159.8,158.9,149.1,,
2002.08," 140,700 ",6.44,707.0,15.8," 53,607 ",33936.0,158.0,159.8,156.3,,
2002.09," 141,700 ",6.30,702.0,15.7," 53,623 ",33696.0,159.1,158.0,164,,
2002.10," 139,100 ",6.16,679.0,15.2," 53,649 ",32592.0,164.6,159.1,175.7,,
2002.11," 140,300 ",6.10,680.0,15.2," 53,675 ",32640.0,164.4,164.6,174.3,,
2002.12," 140,800 ",6.11,683.0,15.3," 53,718 ",32784.0,163.9,164.4,157.3,,
2003.01," 133,600 ",5.94,637.0,14.2," 53,974 ",30576.0,176.5,163.9,163.1,,
2003.02," 134,500 ",5.89,638.0,14.2," 54,095 ",30624.0,176.6,176.5,168.6,,
2003.03," 137,200 ",5.77,642.0,14.2," 54,299 ",30816.0,176.2,176.6,166.6,,
2003.04," 137,900 ",5.71,641.0,14.1," 54,410 ",30768.0,176.8,176.2,163.9,,
2003.05," 142,500 ",5.58,653.0,14.3," 54,656 ",31344.0,174.4,176.8,162.7,,
2003.06," 150,100 ",5.33,669.0,14.6," 54,807 ",32112.0,170.7,174.4,158.9,,
2003.07," 149,900 ",5.33,668.0,14.6," 54,848 ",32064.0,171.1,170.7,159.8,,
2003.08," 152,100 ",5.77,712.0,15.5," 54,995 ",34176.0,160.9,171.1,158,,
2003.09," 146,200 ",5.94,697.0,15.2," 55,189 ",33456.0,165.0,160.9,159.1,,
2003.10," 141,700 ",5.89,672.0,14.6," 55,417 ",32256.0,171.8,165.0,164.6,,
2003.11," 143,500 ",5.86,678.0,14.6," 55,690 ",32544.0,171.1,171.8,164.4,,
2003.12," 144,600 ",5.86,683.0,14.7," 55,820 ",32784.0,170.3,171.1,163.9,,
2004.01," 135,600 ",5.70,630.0,13.7," 55,208 ",30240.0,182.6,170.3,176.5,,
2004.02," 140,700 ",5.73,655.0,14.2," 55,251 ",31440.0,175.7,182.6,176.6,,
2004.03," 139,400 ",5.43,628.0,13.6," 55,317 ",30144.0,183.5,175.7,176.2,,
2004.04," 145,900 ",5.38,654.0,14.2," 55,395 ",31392.0,176.5,183.5,176.8,,
2004.05," 154,500 ",5.75,721.0,15.6," 55,505 ",34608.0,160.4,176.5,174.4,,
2004.06," 158,800 ",6.03,764.0,16.5," 55,555 ",36672.0,151.5,160.4,170.7,,
2004.07," 157,500 ",5.96,752.0,16.2," 55,620 ",36096.0,154.1,151.5,171.1,,
2004.08," 157,600 ",5.80,740.0,15.9," 55,708 ",35520.0,156.8,154.1,160.9,,
2004.09," 152,000 ",5.71,707.0,15.2," 55,745 ",33936.0,164.3,156.8,165,,
2004.10," 152,000 ",5.75,710.0,15.3," 55,827 ",34080.0,163.8,164.3,171.8,,
2004.11," 152,300 ",5.72,709.0,15.2," 55,850 ",34032.0,164.1,163.8,171.1,,
2004.12," 154,900 ",5.80,727.0,15.6," 56,042 ",34896.0,160.6,164.1,170.3,,
2005.01," 144,300 ",5.80,677.0,14.5," 56,134 ",32496.0,172.7,160.6,182.6,,
2005.02," 149,300 ",5.71,694.0,14.8," 56,195 ",33312.0,168.7,172.7,175.7,,
2005.03," 152,800 ",5.85,721.0,15.4," 56,248 ",34608.0,162.5,168.7,183.5,,
