South Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly,Princp.&,Median,,,,,,,
, Single-Fam ,Mortgage,Interest,as %, Family , Qualifying ,,Last,Last,,
, Home ,Rate*,Payment,Income, Income , Income** ,Composite,Month,Year,,
,,,,,,,,,,,
2001.12," 147,000 ",7.00,782.0,19.9," 47,063 "," 37,536 ",125.4,134.5,131.3,,
2002.01," 140,000 ",6.83,732.0,18.9," 46,426 "," 35,136 ",132.1,125.4,139.6,,
2002.02," 141,400 ",6.61,723.0,18.7," 46,459 "," 34,704 ",133.9,132.1,136.3,,
2002.03," 148,500 ",6.82,776.0,20.0," 46,513 "," 37,248 ",124.9,133.9,132.7,,
2002.04," 143,200 ",6.71,740.0,19.0," 46,653 "," 35,520 ",131.3,124.9,131.9,,
2002.05," 150,100 ",6.49,758.0,19.5," 46,707 "," 36,384 ",128.4,131.3,129.1,,
2002.06," 158,300 ",5.90,751.0,19.3," 46,788 "," 36,048 ",129.8,128.4,122.4,,
2002.07," 151,400 ",6.14,737.0,18.9," 46,738 "," 35,376 ",132.1,129.8,129.1,,
2002.08," 151,100 ",6.46,761.0,19.5," 46,750 "," 36,528 ",128.0,132.1,128.6,,
2002.09," 151,900 ",6.37,758.0,19.4," 46,785 "," 36,384 ",128.6,128.0,134.5,,
2002.10," 152,400 ",6.21,748.0,19.2," 46,845 "," 35,904 ",130.5,128.6,138.5,,
2002.11," 152,100 ",6.16,742.0,19.0," 46,903 "," 35,616 ",131.7,130.5,134.5,,
2002.12," 153,600 ",6.20,753.0,19.2," 47,000 "," 36,144 ",130.0,131.7,125.4,,
2003.01," 149,400 ",6.02,718.0,18.4," 46,742 "," 34,464 ",135.6,130.0,132.1,,
2003.02," 153,400 ",5.97,733.0,18.8," 46,751 "," 35,184 ",132.9,135.6,133.9,,
2003.03," 155,500 ",5.88,736.0,18.9," 46,765 "," 35,328 ",132.4,132.9,124.9,,
2003.04," 153,500 ",5.79,720.0,18.5," 46,773 "," 34,560 ",135.3,132.4,131.3,,
2003.05," 156,300 ",5.71,727.0,18.6," 46,791 "," 34,896 ",134.1,135.3,128.4,,
2003.06," 166,100 ",5.49,754.0,19.3," 46,802 "," 36,192 ",129.3,134.1,129.8,,
2003.07," 165,600 ",5.52,754.0,19.3," 46,805 "," 36,192 ",129.3,129.3,132.1,,
2003.08," 164,900 ",5.83,777.0,19.9," 46,816 "," 37,296 ",125.5,129.3,128,,
2003.09," 163,800 ",6.14,797.0,20.4," 46,830 "," 38,256 ",122.4,125.5,128.6,,
2003.10," 161,100 ",5.89,764.0,19.6," 46,846 "," 36,672 ",127.7,122.4,130.5,,
2003.11," 156,700 ",5.94,747.0,19.1," 46,866 "," 35,856 ",130.7,127.7,131.7,,
