Northeast Regional Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
, Med-Price ,Monthly, Princp.& ,Median,,,,,,,,,,,,,,,,,,,,
, Single-Fam ,Mortgage, Interest ,as %, Family , Qualifying ,,Last,Last,,,,,,,,,,,,,,,
, Home ,Rate*, Payment ,Income, Income , Income** ,Composite,Month,Year,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1990.12," 142,500 ",9.86, 825 ,25.1," 39,807 "," 39,600 ",99.7,94.9,91.2,,,,,,,,,,,,,,,
1991.01," 133,800 ",9.85, 860 ,26.1," 39,877 "," 41,280 ",95.8,99.7,95.6,,,,,,,,,,,,,,,
1991.02," 134,100 ",9.71, 863 ,26.1," 39,947 "," 41,424 ",95.6,95.8,90.8,,,,,,,,,,,,,,,
1991.03," 145,200 ",9.60, 881 ,26.7," 40,018 "," 42,288 ",93.8,95.6,88,,,,,,,,,,,,,,,
1991.04," 151,500 ",9.62, 884 ,26.7," 40,088 "," 42,432 ",93.7,93.8,92.4,,,,,,,,,,,,,,,
1991.05," 150,400 ",9.64, 898 ,27.1," 40,159 "," 43,104 ",92.4,93.7,92.1,,,,,,,,,,,,,,,
1991.06," 152,100 ",9.40, 871 ,26.2," 40,230 "," 41,808 ",95.4,92.4,90.8,,,,,,,,,,,,,,,
1991.07," 152,900 ",9.38, 869 ,26.1," 40,283 "," 41,712 ",95.7,95.4,91.9,,,,,,,,,,,,,,,
1991.08," 156,200 ",8.97, 854 ,25.6," 40,318 "," 40,992 ",97.6,95.7,84.8,,,,,,,,,,,,,,,
1991.09," 147,200 ",8.83, 813 ,24.3," 40,354 "," 39,024 ",102.7,97.6,94.1,,,,,,,,,,,,,,,
1991.10," 145,600 ",8.66, 790 ,23.6," 40,389 "," 37,920 ",105.8,102.7,94.7,,,,,,,,,,,,,,,
1991.11," 151,500 ",8.41, 788 ,23.5," 40,425 "," 37,824 ",106.3,105.8,94.9,,,,,,,,,,,,,,,
1991.12," 148,900 ",8.25, 746 ,22.2," 40,460 "," 35,808 ",112.4,106.3,99.7,,,,,,,,,,,,,,,
1992.01," 139,800 ",8.38, 789 ,23.5," 40,496 "," 37,872 ",106.4,112.4,95.8,,,,,,,,,,,,,,,
1992.02," 136,800 ",8.68, 804 ,23.9," 40,531 "," 38,592 ",104.6,106.4,95.6,,,,,,,,,,,,,,,
1992.03," 148,400 ",8.63, 827 ,24.5," 40,567 "," 39,696 ",101.9,104.6,93.8,,,,,,,,,,,,,,,
1992.04," 151,300 ",8.60, 806 ,23.9," 40,603 "," 38,688 ",104.5,101.9,93.7,,,,,,,,,,,,,,,
1992.05," 147,700 ",8.42, 791 ,23.4," 40,638 "," 37,968 ",106.8,104.5,92.4,,,,,,,,,,,,,,,
1992.06," 149,800 ",8.17, 767 ,22.7," 40,674 "," 36,816 ",110.2,106.8,95.4,,,,,,,,,,,,,,,
1992.07," 153,200 ",7.94, 763 ,22.6," 40,704 "," 36,624 ",110.9,110.2,95.7,,,,,,,,,,,,,,,
1992.08," 153,500 ",7.76, 750 ,22.1," 40,729 "," 36,000 ",112.9,110.9,97.6,,,,,,,,,,,,,,,
1992.09," 147,100 ",7.63, 726 ,21.4," 40,753 "," 34,848 ",116.9,112.9,102.7,,,,,,,,,,,,,,,
1992.10," 144,900 ",7.83, 728 ,21.4," 40,778 "," 34,944 ",116.7,116.9,105.8,,,,,,,,,,,,,,,
