MEDIAN SALES PRICE OF EXISTING SINGLE-FAMILY HOMES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOR METROPOLITAN AREAS: ANNUAL, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted in Thousands of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBSA,MSA,MSANAME,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
43,18140,1840,"Columbus, OH",77.9,81.6,85.2,91.0,91.8,94.8,99.1,108.2,117.6,121.7,125.0,129.1,135.7,140.3,146.3,146.7,152.0,148.1,147.4,139.3,134.9,136.4,123.9,136.5,142.8,156.3,164.7,175.5,189.9,201.8,216.6,240.8
44,18580,1880,"Corpus Christi, TX",64.9,63.2,64.3,67.5,70.5,74.1,77.6,79.6,81.8,84.0,85.0,87.9,91.6,94.4,102.1,112.7,125.2,131.8,136.5,139.1,134.3,135.1,134.2,142.7,152.6,171.1,181.5,187.7,186.3,194.3,201.1,225.4
45,18880,18880,"Crestview-Fort Walton Beach-Destin, FL",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,218.9,202.0,200.0,200.5,216.0,230.0,225.0,237.0,252.0,268,281,285.7,339.9
46,19060,1900,"Cumberland, MD-WV ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.9,67.1,66.5,69.5,72.7,87.4,95.7,109.4,99.5,118.3,100.3,88.8,96.2,102.2,92.0,81.1,88.8,90.7,100.5,106.7,120.9
47,19100,1920,"Dallas-Fort Worth-Arlington, TX ",93.4,89.5,88.3,91.3,94.5,95.0,96.4,103.5,112.0,111.0,115.7,122.5,131.1,135.2,138.4,138.2,147.6,149.5,150.9,145.8,140.5,143.8,148.9,159.3,175.6,188.3,207.2,227.1,247.4,260,268.6,287.2
48,19340,1960,"Davenport-Moline-Rock Island, IA-IL ",N/A,N/A,N/A,54.8,58.3,61.8,66.2,69.4,72.6,78.6,82.8,86.3,89.6,95.0,100.6,107.8,117.9,119.7,108.7,94.2,110.3,112.2,109.9,114.6,114.6,116.0,121.6,123.6,126.3,131,135.4,142.8
49,19380,2000,"Dayton, OH ",68.7,71.6,76.3,81.2,82.1,84.2,88.3,95.1,96.7,102.8,104.1,105.1,106.9,112.6,114.6,115.8,119.7,116.7,115.6,107.0,104.1,103.6,93.3,103.5,106.5,114.9,121.7,131.6,138.7,148.4,157.8,175.8
50,19460,2030,"Decatur, AL",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,106.3,112.9,115.1,118.7,119.3,129.5,128.5,142.4,154,175.2
51,19500,2040,"Decatur, IL ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.4,74.1,75.5,82.1,85.4,83.1,87.4,86.7,86.5,87.5,85.1,84.8,89.7,94.3,93.3,94.4,90.8,96.5,102.2
52,19660,2020,"Deltona-Daytona Beach-Ormond Beach, FL ",61.8,62.5,64.6,64.5,66.1,67.3,67.9,71.5,73.6,77.0,82.4,83.2,91.4,105.6,121.8,144.9,187.7,200.7,187.5,160.0,125.0,115.0,102.0,110.0,128.5,136.0,150.0,172.5,190,209.9,225,244.9
