Pending Home Sales,,,,,,,,,,,,,,,,,,,,,,,
United States & Each Region ,,,,,,,,,,,,,,,,,,,,,,,
Annual & Monthly: 2001-current,,,,,,,,,,,,,,,,,,,,,,,
(Seasonally Adjusted Annual Rates),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Month-to-Month % Change,,,,,,Year-Over-Year % Change,,,,,,,,,,
,US,NE,MW,SO,WE,,US,NE,MW,SO,WE,,US,NE,MW,SO,WE,,,,,,
Annual,,,,,,,,,,,,,,,,,,,,,,,
2009.02,82.9,66.8,80.2,88.6,89.4,,-0.3%,6.4%,6.4%,2.4%,-12.4%,,-5.6%,-15.2%,-5.1%,-2.1%,-4.9%,,,,,,
2009.03,83.2,60.1,80.4,89.7,93.7,,0.3%,-10.0%,0.2%,1.2%,4.8%,,0.5%,-21.8%,8.1%,5.7%,0.8%,,,,,,
2009.04,90.5,75.8,88.2,94.3,98.2,,8.8%,26.1%,9.7%,5.1%,4.8%,,2.4%,-3.1%,8.0%,4.4%,-2.2%,,,,,,
2009.05,92.6,78.9,87.4,96.5,102.5,,2.3%,4.1%,-0.9%,2.3%,4.4%,,8.8%,5.8%,11.8%,11.3%,4.7%,,,,,,
2009.06,94.4,78.8,89.7,98.5,104.9,,1.9%,-0.1%,2.6%,2.1%,2.3%,,6.5%,4.9%,12.1%,7.8%,1.3%,,,,,,
2009.07,99.4,80.1,92.9,104.2,113.7,,5.3%,1.6%,3.6%,5.8%,8.4%,,13.7%,8.5%,13.0%,13.0%,18.2%,,,,,,
2009.08,101.4,86.4,95.2,103.4,116.3,,2.0%,7.9%,2.5%,-0.8%,2.3%,,14.3%,16.8%,16.4%,10.7%,16.0%,,,,,,
2009.09,106.0,85.7,98.4,108.4,126.1,,4.6%,-0.8%,3.4%,4.8%,8.4%,,16.9%,11.2%,11.4%,18.2%,23.4%,,,,,,
2009.10,109.7,95.4,106.1,116.1,114.8,,3.5%,11.3%,7.8%,7.1%,-9.0%,,30.9%,40.9%,35.5%,33.3%,18.6%,,,,,,
2009.11,95.2,74.8,86.9,101.3,110.3,,-13.2%,-21.6%,-18.1%,-12.7%,-3.9%,,18.7%,21.4%,19.2%,19.7%,15.6%,,,,,,
