Average Sales Price of Existing Single-Family Homes,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1989 to present,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,
1996.09,"148,700","165,600","121,900","128,900","195,000",,3.5%,0.3%,2.9%,4.3%,4.7%,,,,,,
1996.10,"145,300","163,000","119,300","127,700","187,500",,3.0%,1.5%,3.1%,3.7%,3.0%,,,,,,
1996.11,"145,800","166,000","120,600","127,300","186,900",,3.4%,3.7%,3.1%,3.7%,3.2%,,,,,,
1996.12,"149,200","171,200","123,700","129,200","191,800",,5.3%,5.9%,5.3%,4.6%,5.6%,,,,,,
1997.01,"150,200","164,500","124,300","129,800","199,100",,5.0%,4.4%,4.5%,4.6%,6.3%,,,,,,
1997.02,"146,400","156,900","120,600","129,700","191,200",,4.3%,3.5%,4.9%,4.2%,4.1%,,,,,,
1997.03,"148,700","162,900","120,900","131,200","193,500",,4.9%,2.5%,5.1%,5.9%,4.8%,,,,,,
1997.04,"152,200","171,000","123,800","130,600","201,700",,5.6%,3.7%,4.1%,3.9%,9.6%,,,,,,
1997.05,"155,400","171,100","126,300","135,500","204,900",,5.8%,3.8%,4.3%,6.8%,7.0%,,,,,,
1997.06,"160,000","178,700","132,400","139,800","207,100",,4.8%,2.4%,5.2%,4.7%,5.9%,,,,,,
1997.07,"159,300","181,500","130,000","137,600","209,600",,5.4%,3.3%,4.2%,5.9%,7.0%,,,,,,
1997.08,"160,600","184,500","133,600","139,400","206,800",,6.6%,5.1%,6.4%,6.7%,7.6%,,,,,,
1997.09,"159,300","176,700","129,500","138,600","209,800",,7.1%,6.7%,6.2%,7.5%,7.6%,,,,,,
1997.10,"156,500","170,800","126,800","136,600","208,700",,7.7%,4.8%,6.3%,7.0%,11.3%,,,,,,
1997.11,"157,000","178,100","128,700","136,200","204,500",,7.7%,7.3%,6.7%,7.0%,9.4%,,,,,,
1997.12,"159,800","178,600","130,900","138,600","210,200",,7.1%,4.3%,5.8%,7.3%,9.6%,,,,,,
1998.01,"158,800","171,400","131,100","137,600","211,200",,5.7%,4.2%,5.5%,6.0%,6.1%,,,,,,
1998.02,"155,800","164,600","125,700","138,400","207,800",,6.4%,4.9%,4.2%,6.7%,8.7%,,,,,,
1998.03,"158,500","170,900","127,900","139,100","210,300",,6.6%,4.9%,5.8%,6.0%,8.7%,,,,,,
1998.04,"161,900","178,500","131,300","138,800","217,400",,6.4%,4.4%,6.1%,6.3%,7.8%,,,,,,
1998.05,"166,000","184,600","134,500","142,900","220,700",,6.8%,7.9%,6.5%,5.5%,7.7%,,,,,,
1998.06,"171,200","190,500","141,900","150,300","220,600",,7.0%,6.6%,7.2%,7.5%,6.5%,,,,,,
1998.07,"170,800","194,800","140,400","145,900","225,700",,7.2%,7.3%,8.0%,6.0%,7.7%,,,,,,
1998.08,"166,900","191,100","140,900","145,300","212,200",,3.9%,3.6%,5.5%,4.2%,2.6%,,,,,,
1998.09,"166,500","182,400","137,400","143,200","224,500",,4.5%,3.2%,6.1%,3.3%,7.0%,,,,,,
1998.10,"163,700","173,900","135,800","135,600","213,900",,4.6%,1.8%,7.1%,-0.7%,2.5%,,,,,,
1998.11,"165,300","179,300","136,700","143,400","218,800",,5.3%,0.7%,6.2%,5.3%,7.0%,,,,,,
1998.12,"165,600","182,000","137,600","143,400","217,600",,3.6%,1.9%,5.1%,3.5%,3.5%,,,,,,
1999.01,"167,700","178,100","136,500","144,500","228,900",,5.6%,3.9%,4.1%,5.0%,8.4%,,,,,,
1999.02,"165,600","178,800","132,600","144,600","223,400",,6.3%,8.6%,5.5%,4.5%,7.5%,,,,,,
1999.03,"167,900","178,100","133,700","146,300","227,800",,5.9%,4.2%,4.5%,5.2%,8.3%,,,,,,
1999.04,"169,800","182,200","137,300","148,000","228,100",,4.9%,2.1%,4.6%,6.6%,4.9%,,,,,,
1999.05,"174,300","189,600","140,800","148,900","237,000",,5.0%,2.7%,4.7%,4.2%,7.4%,,,,,,
1999.06,"181,100","194,100","148,900","159,300","238,700",,5.8%,1.9%,4.9%,6.0%,8.2%,,,,,,
1999.07,"178,000","197,100","148,500","153,600","233,800",,4.2%,1.2%,5.8%,5.3%,3.6%,,,,,,
1999.08,"179,600","196,400","148,800","153,000","241,700",,7.6%,2.8%,5.6%,5.3%,13.9%,,,,,,
1999.09,"178,300","189,500","145,100","151,700","245,100",,7.1%,3.9%,5.6%,5.9%,9.2%,,,,,,
1999.10,"173,500","182,800","142,500","150,000","234,700",,6.0%,5.1%,4.9%,10.6%,9.7%,,,,,,
1999.11,"174,600","190,400","141,600","150,100","236,100",,5.6%,6.2%,3.6%,4.7%,7.9%,,,,,,
1999.12,"175,200","193,700","143,800","152,600","229,800",,5.8%,6.4%,4.5%,6.4%,5.6%,,,,,,
2000.01,"177,300","179,700","145,800","149,400","239,400",,5.7%,0.9%,6.8%,3.4%,4.6%,,,,,,
2000.02,"174,400","188,600","137,900","156,600","230,500",,5.3%,5.5%,4.0%,8.3%,3.2%,,,,,,
2000.03,"177,500","186,300","137,000","157,000","243,700",,5.7%,4.6%,2.5%,7.3%,7.0%,,,,,,
2000.04,"179,700","203,200","140,700","154,700","244,300",,5.8%,11.5%,2.5%,4.5%,7.1%,,,,,,
2000.05,"183,200","202,500","144,600","158,300","248,800",,5.1%,6.8%,2.7%,6.3%,5.0%,,,,,,
2000.06,"186,000","208,100","153,100","159,900","245,900",,2.7%,7.2%,2.8%,0.4%,3.0%,,,,,,
2000.07,"184,100","199,700","154,300","158,200","244,100",,3.4%,1.3%,3.9%,3.0%,4.4%,,,,,,
2000.08,"188,600","199,000","155,900","162,900","254,800",,5.0%,1.3%,4.8%,6.5%,5.4%,,,,,,
2000.09,"187,000","195,000","154,000","162,600","251,700",,4.9%,2.9%,6.1%,7.2%,2.7%,,,,,,
2000.10,"183,600","194,000","146,500","161,600","249,200",,5.8%,6.1%,2.8%,7.7%,6.2%,,,,,,
2000.11,"182,500","200,700","140,800","162,300","246,300",,4.5%,5.4%,-0.6%,8.1%,4.3%,,,,,,
2000.12,"185,200","199,100","146,500","166,500","245,200",,5.7%,2.8%,1.9%,9.1%,6.7%,,,,,,
2001.01,"181,200","194,100","144,600","161,200","241,300",,2.2%,8.0%,-0.8%,7.9%,0.8%,,,,,,
2001.02,"181,200","191,100","142,700","161,800","244,100",,3.9%,1.3%,3.5%,3.3%,5.9%,,,,,,
2001.03,"185,800","196,000","143,200","167,400","250,000",,4.7%,5.2%,4.5%,6.6%,2.6%,,,,,,
2001.04,"186,500","200,200","144,500","168,900","248,200",,3.8%,-1.5%,2.7%,9.2%,1.6%,,,,,,
2001.05,"191,100","204,100","150,500","170,700","255,500",,4.3%,0.8%,4.1%,7.8%,2.7%,,,,,,
2001.06,"198,600","214,100","157,800","183,100","255,000",,6.8%,2.9%,3.1%,14.5%,3.7%,,,,,,
2001.07,"197,500","219,100","164,800","173,500","253,400",,7.3%,9.7%,6.8%,9.7%,3.8%,,,,,,
2001.08,"199,400","220,500","162,100","177,900","257,900",,5.7%,10.8%,4.0%,9.2%,1.2%,,,,,,
2001.09,"193,900","196,000","155,500","173,500","262,300",,3.7%,0.5%,1.0%,6.7%,4.2%,,,,,,
2001.10,"188,700","199,800","147,700","169,200","254,200",,2.8%,3.0%,0.8%,4.7%,2.0%,,,,,,
2001.11,"189,100","204,100","147,000","173,500","247,500",,3.6%,1.7%,4.4%,6.9%,0.5%,,,,,,
2001.12,"199,500","216,400","162,900","182,000","252,600",,7.7%,8.7%,11.2%,9.3%,3.0%,,,,,,
2002.01,"195,900","210,400","151,100","174,700","265,700",,8.1%,8.4%,4.5%,8.4%,10.1%,,,,,,
2002.02,"199,000","210,000","155,400","175,200","273,900",,9.8%,9.9%,8.9%,8.3%,12.2%,,,,,,
2002.03,"201,600","216,400","149,600","182,800","274,700",,8.5%,10.4%,4.5%,9.2%,9.9%,,,,,,
2002.04,"203,500","219,600","161,400","178,700","273,800",,9.1%,9.7%,11.7%,5.8%,10.3%,,,,,,
2002.05,"207,700","221,700","158,000","186,600","283,100",,8.7%,8.6%,5.0%,9.3%,10.8%,,,,,,
