Average Sales Price of Existing Condo Homes,,,,,,,,,,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1999 to present,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,,,,,,,,,,
2005.02,"249,300","258,700","231,700","218,300","292,300",,15.0%,12.5%,14.5%,23.6%,10.1%,,,,,,,,,,,,,,,
2005.03,"250,800","255,100","224,200","220,600","311,100",,12.0%,8.5%,8.9%,15.3%,15.1%,,,,,,,,,,,,,,,
2005.04,"260,400","271,700","222,500","231,200","317,900",,15.7%,17.0%,4.9%,21.7%,14.7%,,,,,,,,,,,,,,,
2005.05,"263,100","275,500","225,200","238,000","313,400",,12.9%,8.7%,5.2%,24.6%,11.2%,,,,,,,,,,,,,,,
2005.06,"267,800","281,100","228,000","241,200","319,800",,11.2%,11.5%,6.6%,15.9%,8.6%,,,,,,,,,,,,,,,
2005.07,"264,900","282,500","226,300","232,600","316,800",,11.5%,8.4%,3.7%,19.7%,11.5%,,,,,,,,,,,,,,,
2005.08,"264,800","284,400","227,900","231,400","312,900",,11.9%,12.2%,1.8%,16.5%,13.2%,,,,,,,,,,,,,,,
2005.09,"261,600","275,000","226,200","229,300","317,700",,10.9%,7.9%,6.2%,14.1%,14.0%,,,,,,,,,,,,,,,
2005.10,"263,400","274,900","224,100","240,200","313,800",,13.8%,15.1%,6.2%,22.9%,7.5%,,,,,,,,,,,,,,,
2005.11,"261,900","274,700","226,000","233,000","314,600",,9.8%,11.5%,8.0%,13.3%,5.4%,,,,,,,,,,,,,,,
